Date,Close,Open,High,Low,Volume,Change %,Vol.
3/8/2013,2606.93,2622.68,2632.62,2601.96,59430,-0.48%,59.43
3/11/2013,2592.37,2600.28,2611.65,2574.17,50950,-0.56%,50.95
3/12/2013,2555.61,2590.39,2619.51,2530.25,71940,-1.42%,71.94
3/13/2013,2527.49,2551.73,2556.77,2515.06,56430,-1.10%,56.43
3/14/2013,2534.27,2517.74,2546.7,2514.46,47610,0.27%,47.61
3/15/2013,2539.87,2533.72,2600.09,2504.46,81370,0.22%,81.37
3/18/2013,2502.49,2526.08,2544.62,2499.83,59810,-1.47%,59.81
3/19/2013,2525.1,2507.4,2532.07,2491.85,54540,0.90%,54.54
3/20/2013,2610.17,2526.97,2610.17,2526.83,90700,3.37%,90.7
3/21/2013,2614.99,2611.58,2626.54,2598.51,69550,0.18%,69.55
3/22/2013,2618.31,2612.26,2625.53,2603.34,55650,0.13%,55.65
3/25/2013,2613.1,2628.41,2641.61,2607.61,56260,-0.20%,56.26
3/26/2013,2575.05,2601.96,2607.36,2554.97,63960,-1.46%,63.96
3/27/2013,2583.53,2575.73,2611.94,2566.34,56910,0.33%,56.91
3/28/2013,2499.3,2535.99,2535.99,2495.08,87580,-3.26%,87.58
3/29/2013,2495.08,2502.78,2509.11,2482.49,52400,-0.17%,52.4
4/1/2013,2493.19,2486.43,2507.82,2483.73,47350,-0.08%,47.35
4/2/2013,2486.39,2495.84,2524.46,2475,55680,-0.27%,55.68
4/3/2013,2483.55,2493.88,2507.14,2474.93,45560,-0.11%,45.56
4/8/2013,2472.3,2443.24,2473.31,2429.5,53300,-0.45%,53.3
4/9/2013,2489.43,2477.29,2505.29,2477.29,52390,0.69%,52.39
4/10/2013,2485.31,2487.98,2495.57,2466.19,47510,-0.17%,47.51
4/11/2013,2477.88,2502.5,2508.59,2476.4,42990,-0.30%,42.99
4/12/2013,2462.11,2476.32,2489.12,2460.18,39920,-0.64%,39.92
4/15/2013,2436.82,2453.97,2461.67,2430.15,46540,-1.03%,46.54
4/16/2013,2459.59,2419.51,2461.05,2416.62,55280,0.93%,55.28
4/17/2013,2458.47,2457.88,2465.2,2437.34,44690,-0.05%,44.69
4/18/2013,2464.85,2440.71,2478.41,2434.73,42860,0.26%,42.86
4/19/2013,2533.83,2469.95,2542.45,2469.32,75520,2.80%,75.52
4/22/2013,2530.67,2525.11,2539.05,2518.26,62510,-0.12%,62.51
4/23/2013,2449.47,2532.2,2532.2,2448.2,60650,-3.21%,60.65
4/24/2013,2495.58,2452.78,2511.2,2446.59,63050,1.88%,63.05
4/25/2013,2467.88,2486.86,2505.48,2456.57,60560,-1.11%,60.56
4/26/2013,2447.31,2477.72,2488.59,2439.8,47120,-0.83%,47.12
5/2/2013,2449.64,2434.6,2453.75,2423.08,47020,0.10%,47.02
5/3/2013,2492.91,2457.54,2521.12,2457.54,62330,1.77%,62.33
5/6/2013,2525.98,2502.98,2533.86,2500.45,60420,1.33%,60.42
5/7/2013,2529.94,2519.36,2539.3,2507.76,54490,0.16%,54.49
5/8/2013,2542.8,2542.27,2562.01,2531.25,59550,0.51%,59.55
5/9/2013,2527.79,2542.37,2543.3,2507.79,60240,-0.59%,60.24
5/10/2013,2540.84,2519.52,2546.97,2515.16,48820,0.52%,48.82
5/13/2013,2530.77,2542.41,2547.6,2516.73,54090,-0.40%,54.09
5/14/2013,2493.34,2526,2526.14,2479.87,54880,-1.48%,54.88
5/15/2013,2506.93,2493.97,2507.43,2491.93,44190,0.55%,44.19
5/16/2013,2552.71,2501.12,2553.06,2487.76,70800,1.83%,70.8
5/17/2013,2592.05,2550.45,2598.71,2547.78,81850,1.54%,81.85
5/20/2013,2609.61,2597.15,2627.62,2590.05,86340,0.68%,86.34
5/21/2013,2614.85,2607.39,2617.4,2594.25,71510,0.20%,71.51
5/22/2013,2618.03,2613.41,2630.07,2603.75,74190,0.12%,74.19
5/23/2013,2582.85,2604.93,2624.08,2579.35,84830,-1.34%,84.83
5/24/2013,2597.23,2591.42,2608.35,2572.88,60740,0.56%,60.74
5/27/2013,2599.59,2593.52,2611.97,2589.74,64200,0.09%,64.2
5/28/2013,2644.36,2600.63,2644.36,2585.9,84200,1.72%,84.2
5/29/2013,2642.56,2648.93,2661.23,2640.88,79280,-0.07%,79.28
5/30/2013,2634.32,2633.95,2647.44,2623.58,70150,-0.31%,70.15
5/31/2013,2606.43,2638.71,2645.57,2604.75,62530,-1.06%,62.53
6/3/2013,2602.62,2605.97,2625.94,2596.05,59770,-0.15%,59.77
6/4/2013,2565.67,2600.5,2600.5,2556.06,66320,-1.42%,66.32
6/5/2013,2560.54,2565.33,2570.03,2545.19,45640,-0.20%,45.64
6/6/2013,2527.84,2552.82,2557.68,2525.31,52500,-1.28%,52.5
6/7/2013,2484.16,2526.91,2538.89,2475.69,61030,-1.73%,61.03
6/13/2013,2399.94,2448.72,2448.72,2375.2,69730,-3.39%,69.73
6/14/2013,2416.77,2404.42,2420.36,2396.49,55970,0.70%,55.97
6/17/2013,2403.84,2422.76,2427.53,2394.39,50400,-0.54%,50.4
6/18/2013,2418.74,2413.09,2424.2,2393.32,48630,0.62%,48.63
6/19/2013,2400.76,2408.28,2408.28,2366.35,54350,-0.74%,54.35
6/20/2013,2321.47,2386.1,2386.1,2320.23,55200,-3.30%,55.2
6/21/2013,2317.39,2283.15,2332.84,2269.57,58710,-0.18%,58.71
6/24/2013,2171.21,2308.07,2308.07,2164.32,86600,-6.31%,86.6
6/25/2013,2165.42,2146.05,2169.21,2023.17,107560,-0.27%,107.56
6/26/2013,2168.3,2170.33,2181.02,2131.86,79260,0.13%,79.26
6/27/2013,2160.74,2172.85,2200.21,2153.18,75410,-0.35%,75.41
6/28/2013,2200.64,2149.03,2227.46,2139.37,79450,1.85%,79.45
7/1/2013,2213.32,2187.09,2213.97,2166.35,57730,0.58%,57.73
7/2/2013,2221.98,2211.8,2226.11,2191.8,61840,0.39%,61.84
